"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","name"
"cliffhanger",145,126,89,197,86,154,95,146,335,247,"cliffhanger"
"clueless",71,88,59,94,91,73,63,113,168,230,"clueless"
"code-of-silence",117,93,81,137,73,103,70,128,249,216,"code-of-silence"
"collateral",137,122,80,175,90,131,81,154,322,249,"collateral"
"colombiana",116,125,84,166,104,106,76,167,265,269,"colombiana"
"commando",91,76,50,127,48,85,61,89,201,142,"commando"
"conan-the-barbarian",169,121,116,222,98,163,83,141,370,269,"conan-the-barbarian"
"crank",132,102,100,161,77,114,89,113,309,223,"crank"
"crash",97,105,73,135,70,104,63,126,255,225,"crash"
"crazylove",90,127,58,122,115,97,79,148,222,270,"crazylove"
"cruel-intentions",92,115,82,105,110,114,71,139,234,252,"cruel-intentions"
"crying-game",65,65,46,84,63,70,43,80,159,150,"crying-game"
"dawn-of-the-dead",149,134,105,187,95,134,98,159,356,288,"dawn-of-the-dead"
"deadpool",183,143,136,237,127,173,108,180,394,338,"deadpool"
"deep-cover",136,109,94,163,109,144,78,172,289,272,"deep-cover"
"deep-rising",137,116,100,184,83,119,86,117,314,231,"deep-rising"
"defiance",142,148,108,205,116,147,80,175,351,312,"defiance"
"die-hard",133,129,87,177,104,133,86,173,314,299,"die-hard"
"drive-angry",122,88,82,151,72,114,62,105,260,196,"drive-angry"
"drive",114,120,61,137,106,113,77,139,249,244,"drive"
"dune",126,115,88,180,90,117,74,133,280,258,"dune"
"eagle-eye",165,149,97,214,112,141,104,211,361,340,"eagle-eye"
"easy-a",124,131,116,137,124,127,79,170,273,300,"easy-a"
"el-mariachi",55,62,38,71,54,53,38,77,126,126,"el-mariachi"
"enemy-of-the-state",108,106,75,145,83,99,61,168,247,261,"enemy-of-the-state"
"entrapment",139,166,112,211,156,152,118,224,363,418,"entrapment"
"escape-from-la",160,107,96,215,82,129,86,133,338,243,"escape-from-la"
"even-cowgirls-get-the-blues",132,154,107,187,138,156,95,190,341,369,"even-cowgirls-get-the-blues"
"evil-dead-ii-dead-by-dawn",116,87,93,155,70,126,77,91,259,163,"evil-dead-ii-dead-by-dawn"
"face-off",169,134,106,233,109,169,95,185,373,313,"face-off"
"fair-game",112,131,82,143,95,119,73,197,284,315,"fair-game"
"fantastic-four",138,131,92,195,115,144,94,174,322,302,"fantastic-four"
"feast",115,88,85,151,68,121,68,116,273,210,"feast"
"fight-club",155,134,111,191,124,156,96,178,357,314,"fight-club"
"flash-gordon",156,125,99,214,101,136,99,135,326,282,"flash-gordon"
"foxcatcher",86,114,57,96,102,85,63,168,198,275,"foxcatcher"
"freddy-vs-jason",154,115,122,227,87,157,78,155,351,230,"freddy-vs-jason"
"frozen",94,74,71,124,59,102,48,97,221,169,"frozen"
"gamer",166,129,114,206,95,163,80,143,361,284,"gamer"
"garden-state",97,120,71,114,101,100,66,137,244,243,"garden-state"
"get-carter",84,71,64,100,63,96,48,92,211,172,"get-carter"
"ghost-rider",210,127,139,267,98,202,94,147,477,273,"ghost-rider"
"ghostbusters-2",154,129,112,188,113,142,92,183,322,319,"ghostbusters-2"
"gi-jane",135,137,99,169,99,131,82,190,310,327,"gi-jane"
