"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"156","tt1186367","movie","ninja-assassin","ninja-assassin","0","2009","\N","99","Action,Thriller"
"157","tt1188729","movie","pandorum","pandorum","0","2009","\N","108","Action,Horror,Mystery"
"158","tt1193138","movie","up-in-the-air","up-in-the-air","0","2009","\N","109","Comedy,Drama,Romance"
"159","tt1229822","movie","jane-eyre","jane-eyre","0","2011","\N","120","Drama,Romance"
"160","tt1276104","movie","looper","looper","0","2012","\N","113","Action,Drama,Sci-Fi"
"161","tt1282140","movie","easy-a","easy-a","0","2010","\N","92","Comedy,Drama,Romance"
"162","tt1291584","movie","warrior","warrior","0","2011","\N","140","Action,Drama,Sport"
"163","tt1318514","movie","rise-of-the-planet-of-the-apes","rise-of-the-planet-of-the-apes","0","2011","\N","105","Action,Drama,Sci-Fi"
"164","tt1375666","movie","inception","inception","0","2010","\N","148","Action,Adventure,Sci-Fi"
"165","tt1403981","movie","remember-me","remember-me","0","2010","\N","113","Drama,Romance"
"166","tt1409024","movie","men-in-black-3","men-in-black-3","0","2012","\N","106","Action,Adventure,Comedy"
"167","tt1431045","movie","deadpool","deadpool","0","2016","\N","108","Action,Adventure,Comedy"
"168","tt1464540","movie","i-am-number-four","i-am-number-four","0","2011","\N","111","Action,Adventure,Sci-Fi"
"169","tt1483013","movie","oblivion","oblivion","0","2013","\N","124","Action,Adventure,Sci-Fi"
"170","tt1502404","movie","drive-angry","drive-angry","0","2011","\N","104","Action,Fantasy,Thriller"
"171","tt1622547","movie","30-minutes-or-less","30-minutes-or-less","0","2011","\N","83","Action,Comedy,Crime"
"172","tt1646971","movie","how-to-train-your-dragon-2","how-to-train-your-dragon-2","0","2014","\N","102","Action,Adventure,Animation"
"173","tt1657507","movie","colombiana","colombiana","0","2011","\N","108","Action,Drama,Thriller"
"174","tt1735898","movie","snow-white-and-the-huntsman","snow-white-and-the-huntsman","0","2012","\N","127","Action,Adventure,Drama"
"175","tt1748122","movie","moonrise-kingdom","moonrise-kingdom","0","2012","\N","94","Comedy,Drama,Romance"
"176","tt1800241","movie","american-hustle","american-hustle","0","2013","\N","138","Crime,Drama"
"177","tt1979320","movie","rush","rush","0","2013","\N","123","Action,Biography,Drama"
"178","tt2179136","movie","american-sniper","american-sniper","0","2014","\N","133","Action,Biography,Drama"
"179","tt2180411","movie","into-the-woods","into-the-woods","0","2014","\N","125","Adventure,Comedy,Drama"
"180","tt2267998","movie","gone-girl","gone-girl","0","2014","\N","149","Drama,Mystery,Thriller"
"181","tt2294629","movie","frozen","frozen","0","2013","\N","102","Adventure,Animation,Comedy"
"182","tt2305051","movie","wild","wild","0","2014","\N","115","Adventure,Biography,Drama"
"183","tt2350892","movie","bad-country","bad-country","0","2014","\N","95","Action,Crime,Drama"
"184","tt2404181","movie","belle","belle","0","2013","\N","100","Biography,Drama,Romance"
"185","tt2582802","movie","whiplash","whiplash","0","2014","\N","106","Drama,Music"
"186","tt2930144","movie","judge","judge","0","2013","\N","76","Mystery,Thriller"
"187","tt2937898","movie","a-most-violent-year","a-most-violent-year","0","2014","\N","125","Action,Crime,Drama"
"188","tt3316960","movie","still-alice","still-alice","0","2014","\N","101","Drama"
"189","tt3569230","movie","legend","legend","0","2015","\N","132","Biography,Crime,Drama"
