"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"116852","tt0119654","movie","men-in-black","men-in-black","0","1997","\N","98","Action,Adventure,Comedy"
"116862","tt0119664","movie","metro","metro","0","1997","\N","117","Action,Comedy,Crime"
"117009","tt0119822","movie","as-good-as-it-gets","as-good-as-it-gets","0","1997","\N","139","Comedy,Drama,Romance"
"117362","tt0120188","movie","three-kings","three-kings","0","1999","\N","114","Action,Adventure,Comedy"
"117375","tt0120201","movie","starship-troopers","starship-troopers","0","1997","\N","129","Action,Adventure,Sci-Fi"
"117507","tt0120338","movie","titanic","titanic","0","1997","\N","194","Drama,Romance"
"117514","tt0120347","movie","tomorrow-never-dies","tomorrow-never-dies","0","1997","\N","119","Action,Adventure,Thriller"
"117639","tt0120477","movie","wanted","wanted","0","1997","\N","87","Action,Comedy"
"117739","tt0120591","movie","armageddon","armageddon","0","1998","\N","151","Action,Adventure,Sci-Fi"
"117756","tt0120611","movie","blade","blade","0","1998","\N","120","Action,Horror,Sci-Fi"
"117794","tt0120660","movie","enemy-of-the-state","enemy-of-the-state","0","1998","\N","132","Action,Thriller"
"117799","tt0120667","movie","fantastic-four","fantastic-four","0","2005","\N","106","Action,Adventure,Fantasy"
"117814","tt0120685","movie","godzilla","godzilla","0","1998","\N","139","Action,Sci-Fi,Thriller"
"117824","tt0120696","movie","hard-rain","hard-rain","0","1998","\N","97","Action,Crime,Drama"
"117892","tt0120780","movie","out-of-sight","out-of-sight","0","1998","\N","123","Comedy,Crime,Drama"
"117912","tt0120804","movie","resident-evil","resident-evil","0","2002","\N","100","Action,Horror,Sci-Fi"
"117916","tt0120812","movie","rush-hour","rush-hour","0","1998","\N","98","Action,Comedy,Crime"
"117918","tt0120815","movie","saving-private-ryan","saving-private-ryan","0","1998","\N","169","Drama,War"
"117976","tt0120891","movie","wild-wild-west","wild-wild-west","0","1999","\N","106","Action,Comedy,Sci-Fi"
"117984","tt0120903","movie","x-men","x-men","0","2000","\N","104","Action,Adventure,Sci-Fi"
"119376","tt0122487","movie","feast","feast","0","1992","\N","87","Comedy,Horror"
"122153","tt0125439","movie","notting-hill","notting-hill","0","1999","\N","124","Comedy,Drama,Romance"
"122716","tt0126029","movie","shrek","shrek","0","2001","\N","90","Adventure,Animation,Comedy"
"127673","tt0131254","movie","wanted","wanted","1","1980","\N","80","Adult"
"133575","tt0137494","movie","entrapment","entrapment","0","1999","\N","113","Action,Crime,Romance"
"133603","tt0137523","movie","fight-club","fight-club","0","1999","\N","139","Drama"
"135085","tt0139134","movie","cruel-intentions","cruel-intentions","0","1999","\N","97","Drama,Romance"
"135351","tt0139414","movie","lake-placid","lake-placid","0","1999","\N","82","Action,Comedy,Horror"
"135575","tt0139654","movie","training-day","training-day","0","2001","\N","122","Crime,Drama,Thriller"
"141135","tt0145487","movie","spider-man","spider-man","0","2002","\N","121","Action,Adventure,Sci-Fi"
"142469","tt0146882","movie","high-fidelity","high-fidelity","0","2000","\N","113","Comedy,Drama,Music"
"147134","tt0151738","movie","never-been-kissed","never-been-kissed","0","1999","\N","107","Comedy,Drama,Romance"
"148975","tt0153644","movie","wanted","wanted","0","1998","\N","92","Drama,Thriller"
"149483","tt0154182","movie","avatar","avatar","0","1941","\N","\N","Drama"
"150531","tt0155274","movie","titanic","titanic","0","1915","\N","\N","History"
"150625","tt0155371","movie","wanted","wanted","0","1961","\N","\N","Action"
"151557","tt0156348","movie","belle","belle","0","1973","\N","96","Drama"
"158377","tt0163665","movie","hostage","hostage","0","1999","\N","91","Drama"
