"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","averageRating","numVotes","directors","writers","DirAvgScore","DirAvgVotes","WriteAvgScore","WriteAvgVotes","isDrama","isSport","isRomance","isComedy","isAdventure","isHistory","isAction","isBiography","isCrime","isMystery","isWar","isSci-Fi","isFantasy","isThriller","isHorror","isAnimation","isMusic","isFamily","isMusical","isDocumentary","isNews","isWestern"
"1853","tt0098577","movie","vampire's-kiss","vampire's-kiss",0,1988,"\N",103,"Comedy,Horror",6.1,16624,"nm0081590","nm0591387",6.1,16624,6.9,41591,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1854","tt0098621","movie","the-war-of-the-roses","the-war-of-the-roses",0,1989,"\N",116,"Comedy,Romance",6.8,51830,"nm0000362","nm0012258,nm0498775",6.75,130695.5,6.1,67309.5,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1855","tt0098622","movie","warlock","warlock",0,1989,"\N",103,"Action,Fantasy,Horror",6.2,16686,"nm0591171","nm0878638",6.06666666666667,38329.3333333333,6.825,189911.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1856","tt0098625","movie","we're-no-angels","we're-no-angels",0,1989,"\N",106,"Comedy,Crime",6.1,22926,"nm0001403","nm0000519,nm0532030,nm0404062,nm0818416,nm0818415",6.95,34951.25,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1857","tt0098627","movie","weekend-at-bernie's","weekend-at-bernie's",0,1989,"\N",97,"Adventure,Comedy,Crime",6.4,53960,"nm0467646","nm0458228",7.23333333333333,102883,6.3,59113.5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1858","tt0098635","movie","when-harry-met-sally...","when-harry-met-sally...",0,1989,"\N",95,"Comedy,Drama,Romance",7.6,210280,"nm0001661","nm0001188",7.36666666666667,489925.666666667,6.525,151262,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1859","tt0098645","movie","who's-harry-crumb?","who's-harry-crumb?",0,1989,"\N",94,"Comedy,Mystery",5.9,16087,"nm0280901","nm0176256,nm0941810",NA,NA,5.5,14605.5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1860","tt0098663","movie","the-wizard","the-wizard",0,1989,"\N",96,"Adventure,Comedy,Drama",6.1,15157,"nm0390844","nm0158219",6.1,15157,6.1,15157,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1861","tt0098692","movie","wicked-city","yã´jã»-toshi",0,1987,"\N",82,"Action,Animation,Fantasy",6.8,7438,"nm0159109","nm0452837,nm0159109,nm0651487",7.46666666666667,25019.6666666667,7.25,10609,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1862","tt0098724","movie","sex,-lies,-and-videotape","sex,-lies,-and-videotape",0,1989,"\N",100,"Drama",7.2,53718,"nm0001752","nm0001752",7.3,122764.5,7.3,122764.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
