"","nconst","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"2472616","nm1162056","Eric Forestier","\N","\N","writer,director,actor","tt8485364,tt1068672,tt10270800,tt0318056"
"2474238","nm1162222","Philippe Lefebvre","1968","\N","actor,writer,director","tt0309872,tt0362225,tt7738778,tt4119154"
"2484285","nm1163237","Clio Barnard","\N","\N","director,producer,writer","tt5700176,tt0407796,tt2304426,tt1623008"
"2484562","nm1163264","Otto Bathurst","1971","\N","director,producer,assistant_director","tt2442560,tt4532826,tt2085059,tt1188927"
"2490116","nm1163823","Chris Chibnall","\N","\N","writer,producer,miscellaneous","tt1777034,tt2249364,tt0436992,tt2763296"
"2492240","nm1164041","Pigmalion Dadakaridis","\N","\N","actor,writer","tt5221894,tt10710246,tt1000779,tt1116451"
"2493738","nm1164191","Shobhna Desai","\N","\N","producer,writer","tt2953500,tt10235658,tt0306434,tt6673402"
"2493986","nm1164216","Kate DiCamillo","1964","\N","writer,actress","tt0317132,tt8521736,tt0420238,tt0814214"
"2494234","nm11642416","Nan Chen","\N","\N","writer,assistant_director","tt9586294"
"2495035","nm1164318","Andre Dubus III","1959","\N","actor,writer","tt4972170,tt1221209,tt0315983,tt0434789"
"2497374","nm1164552","Florian David Fitz","1974","\N","actor,writer,director","tt1611211,tt1920976,tt8129794,tt5154896"
"2497858","nm1164602","Ciarán Foy","\N","\N","director,writer,editor","tt2752772,tt0841102,tt5294518,tt1641975"
"2499379","nm1164755","Xavier Gens","1975","\N","director,assistant_director,producer","tt0465494,tt0775440,tt1535616,tt0814685"
"2500393","nm1164861","Seth Gordon","\N","\N","producer,director,miscellaneous","tt1152822,tt0923752,tt0384286,tt2120120"
"2500425","nm1164865","Dakota Gorman","\N","\N","actress,writer,producer","tt0452046,tt5673432,tt1567432"
"2502160","nm1165047","Laura Harkcom","\N","\N","writer,producer","tt0830361,tt3479316,tt0758916,tt1786211"
"2506478","nm1165501","Prakash Kapadia","\N","\N","writer","tt8108274,tt0375611,tt0238936,tt3735246"
"2518876","nm1166781","Luis Ortega","1980","\N","director,writer,actor","tt7204348,tt0317211,tt0362873,tt2325649"
"2519086","nm1166804","Hiroyuki Owaku","\N","\N","writer,soundtrack,miscellaneous","tt0323974,tt2476170,tt6435172,tt0282975"
"2519482","nm1166844","Tom Papa","\N","\N","writer,producer,actor","tt1910649,tt1442552,tt1130080,tt1291580"
"2520319","nm1166926","Vadim Perelman","1963","\N","director,producer,writer","tt9738784,tt0815178,tt5031896,tt0315983"
"2526868","nm1167599","Garret Shanley","\N","\N","writer,director","tt4708346,tt8368406,tt11212572,tt0317884"
"2529479","nm1167870","Esteban Student","\N","\N","writer,actor,director","tt0193355,tt0317229,tt0479354,tt4411504"
"2529891","nm11679116","John Brandon","\N","\N","writer","tt9139586"
"2530066","nm1167933","Damián Szifron","1975","\N","writer,director,producer","tt3011894,tt0462570,tt0322298,tt0316613"
"2532836","nm1168219","Paolo Vacirca","1982","\N","writer,director,script_department","tt0468769,tt16277364,tt4667872,tt1556243"
"2535678","nm1168510","Diana Wynne Jones","1934","2011","writer","tt0177448,tt0347149,tt12441478,tt0315647"
"2536225","nm1168564","Ha Yoo","\N","\N","director,writer,producer","tt10546018,tt1155053,tt0821442,tt3698118"
"2537143","nm1168657","Andrey Zvyagintsev","1964","\N","director,actor,writer","tt1925421,tt6304162,tt2802154,tt0376968"
"2544677","nm1169463","Jamieson Stern","\N","\N","actor,writer,producer","tt1147684,tt3369350,tt0382038,tt3654302"
"2545639","nm1169562","Yu Yang","\N","\N","director,writer,art_director","tt10627086,tt10627720,tt10627440"
"2545661","nm1169564","Maury Yeston","\N","\N","soundtrack,writer,composer","tt0875034,tt6229766,tt0419409,tt12924274"
"2552086","nm1170227","Jonathan Larson","1960","1996","soundtrack,writer,music_department","tt0294870,tt3401882,tt7601668,tt8721424"
"2552646","nm1170286","Martin Weisz","1966","\N","director,producer,writer","tt0448400,tt0800069,tt2359307"
"2553152","nm1170339","Julius Avery","\N","\N","director,writer,editor","tt4530422,tt2452200,tt2366035,tt1232785"
"2558121","nm1170855","J.C. Chandor","\N","\N","producer,director,writer","tt2937898,tt2017038,tt1488606,tt1615147"
"2559859","nm1171030","Simon Block","\N","\N","writer,producer","tt0328799,tt4015216,tt2101473,tt10370380"
"2560114","nm1171056","Cheng Kuo","\N","\N","writer","tt0425637,tt1326972,tt0113588,tt0312001"
"2560219","nm1171067","Shawn Lawrence Otto","\N","\N","writer,producer","tt0315983"
"2563988","nm1171463","Kevin O'Neill","1953","\N","writer","tt0099740,tt0311429,tt1683043,tt4718796"
"2566742","nm1171743","Adrian Butchart","\N","\N","writer,producer,actor","tt0380389,tt0473360,tt0322700,tt1063056"
"2568568","nm1171925","Sailesh Dey","\N","\N","writer","tt0079221,tt3334734,tt0139446,tt7658596"
